"","name","date","region","admissions","deaths"
"1","Unvaccinated","2020-12-08","east_of_england",132,33
"2","Unvaccinated","2020-12-08","england",1158,351
"3","Unvaccinated","2020-12-08","london",195,35
"4","Unvaccinated","2020-12-08","midlands",233,85
"5","Unvaccinated","2020-12-08","north_east_and_yorkshire",189,62
"6","Unvaccinated","2020-12-08","north_west",186,55
"7","Unvaccinated","2020-12-08","south_east",160,57
"8","Unvaccinated","2020-12-08","south_west",63,23
"9","Unvaccinated","2020-12-09","east_of_england",123,34
"10","Unvaccinated","2020-12-09","england",1138,357
"11","Unvaccinated","2020-12-09","london",197,36
"12","Unvaccinated","2020-12-09","midlands",231,85
"13","Unvaccinated","2020-12-09","north_east_and_yorkshire",157,69
"14","Unvaccinated","2020-12-09","north_west",163,60
"15","Unvaccinated","2020-12-09","south_east",170,45
"16","Unvaccinated","2020-12-09","south_west",97,27
"17","Unvaccinated","2020-12-10","east_of_england",143,35
"18","Unvaccinated","2020-12-10","england",1252,350
"19","Unvaccinated","2020-12-10","london",224,29
"20","Unvaccinated","2020-12-10","midlands",271,89
"21","Unvaccinated","2020-12-10","north_east_and_yorkshire",189,70
"22","Unvaccinated","2020-12-10","north_west",151,49
"23","Unvaccinated","2020-12-10","south_east",208,50
"24","Unvaccinated","2020-12-10","south_west",66,28
"25","Unvaccinated","2020-12-11","east_of_england",135,50
"26","Unvaccinated","2020-12-11","england",1133,379
"27","Unvaccinated","2020-12-11","london",200,28
"28","Unvaccinated","2020-12-11","midlands",203,86
"29","Unvaccinated","2020-12-11","north_east_and_yorkshire",196,78
"30","Unvaccinated","2020-12-11","north_west",144,44
"31","Unvaccinated","2020-12-11","south_east",176,64
"32","Unvaccinated","2020-12-11","south_west",79,29
"33","Unvaccinated","2020-12-12","east_of_england",176,31
"34","Dose 1","2020-12-12","england",1,0
"35","Unvaccinated","2020-12-12","england",1313,357
"36","Unvaccinated","2020-12-12","london",253,41
"37","Unvaccinated","2020-12-12","midlands",259,96
"38","Dose 1","2020-12-12","north_east_and_yorkshire",1,0
"39","Unvaccinated","2020-12-12","north_east_and_yorkshire",171,60
"40","Unvaccinated","2020-12-12","north_west",167,58
"41","Unvaccinated","2020-12-12","south_east",204,53
"42","Unvaccinated","2020-12-12","south_west",83,18
"43","Unvaccinated","2020-12-13","east_of_england",181,40
"44","Unvaccinated","2020-12-13","england",1295,346
"45","Unvaccinated","2020-12-13","london",251,28
"46","Unvaccinated","2020-12-13","midlands",247,90
"47","Unvaccinated","2020-12-13","north_east_and_yorkshire",176,63
